tourney_name,winner_name,loser_name,minutes
Us Open,Botic Van De Zandschulp,Carlos Taberner,214.0
Us Open,Marco Trungelliti,Alejandro Davidovich Fokina,267.0
Us Open,Kevin Anderson,Jiri Vesely,262.0
Us Open,Daniel Evans,Thiago Monteiro,214.0
Us Open,Philipp Kohlschreiber,Marin Cilic,219.0
Us Open,Pablo Andujar,Mikhail Kukushkin,254.0
Us Open,Dominik Koepfer,Quentin Halys,211.0
Us Open,Kei Nishikori,Mackenzie Mcdonald,237.0
Us Open,Aslan Karatsev,Jordan Thompson,280.0
Us Open,Jenson Brooksby,Taylor Fritz,246.0
Us Open,Matteo Berrettini,Corentin Moutet,201.0
Us Open,Jack Sock,Alexander Bublik,212.0
Us Open,Jannik Sinner,Zachary Svajda,214.0
Us Open,Henri Laaksonen,Cristian Garin,188.0
Us Open,Peter Gojowczyk,Dusan Lajovic,189.0
Us Open,Botic Van De Zandschulp,Casper Ruud,185.0
Us Open,Alex Molcan,Brandon Nakashima,199.0
Us Open,Diego Schwartzman,Kevin Anderson,192.0
Us Open,Novak Djokovic,Kei Nishikori,212.0
Us Open,Jenson Brooksby,Aslan Karatsev,230.0
Us Open,Matteo Berrettini,Ilya Ivashka,226.0
Us Open,Jannik Sinner,Gael Monfils,222.0
Us Open,Frances Tiafoe,Andrey Rublev,225.0
Us Open,Felix Auger Aliassime,Roberto Bautista Agut,235.0
Us Open,Carlos Alcaraz,Stefanos Tsitsipas,247.0
Us Open,Daniel Evans,Alexei Popyrin,243.0
Us Open,Felix Auger Aliassime,Frances Tiafoe,204.0
Us Open,Carlos Alcaraz,Peter Gojowczyk,211.0
Us Open,Botic Van De Zandschulp,Diego Schwartzman,260.0
Us Open,Novak Djokovic,Matteo Berrettini,207.0
Us Open,Novak Djokovic,Alexander Zverev,214.0
Australian Open,Taylor Fritz,Albert Ramos,203.0
Australian Open,Marton Fucsovics,Marc Polmans,252.0
Australian Open,Corentin Moutet,John Millman,225.0
Australian Open,Emil Ruusuvuori,Gael Monfils,226.0
Australian Open,Dusan Lajovic,Sergiy Stakhovsky,204.0
Australian Open,Jiri Vesely,Kimmer Coppejans,208.0
Australian Open,Denis Shapovalov,Jannik Sinner,235.0
Australian Open,Egor Gerasimov,Benoit Paire,192.0
Australian Open,Diego Schwartzman,Elias Ymer,187.0
Australian Open,Radu Albot,Roberto Bautista Agut,195.0
Australian Open,Alexei Popyrin,David Goffin,223.0
Australian Open,Mikael Ymer,Hubert Hurkacz,224.0
Australian Open,Karen Khachanov,Aleksandar Vukic,186.0
Australian Open,Cameron Norrie,Daniel Evans,207.0
Australian Open,Michael Mmoh,Viktor Troicki,246.0
Australian Open,Novak Djokovic,Frances Tiafoe,210.0
Australian Open,Taylor Fritz,Reilly Opelka,247.0
Australian Open,Marton Fucsovics,Stan Wawrinka,239.0
Australian Open,Pedro Martinez,Emil Ruusuvuori,189.0
Australian Open,Dusan Lajovic,Alexander Bublik,185.0
Australian Open,Nick Kyrgios,Ugo Humbert,205.0
Australian Open,Feliciano Lopez,Lorenzo Sonego,198.0
Australian Open,Stefanos Tsitsipas,Thanasi Kokkinakis,272.0
Australian Open,Mikael Ymer,Carlos Alcaraz,188.0
Australian Open,Fabio Fognini,Salvatore Caruso,236.0
Australian Open,Cameron Norrie,Roman Safiullin,211.0
Australian Open,Novak Djokovic,Taylor Fritz,205.0
Australian Open,Milos Raonic,Marton Fucsovics,193.0
Australian Open,Dusan Lajovic,Pedro Martinez,193.0
Australian Open,Dominic Thiem,Nick Kyrgios,201.0
Australian Open,Daniil Medvedev,Filip Krajinovic,186.0
Australian Open,Aslan Karatsev,Felix Auger Aliassime,205.0
Australian Open,Novak Djokovic,Alexander Zverev,210.0
Australian Open,Stefanos Tsitsipas,Rafael Nadal,245.0
Estoril,Corentin Moutet,Marcos Giron,183.0
Sofia,Dimitar Kuzmanov,Lorenzo Musetti,184.0
Los Cabos,Denis Kudla,Thanasi Kokkinakis,191.0
Antwerp,Andy Murray,Frances Tiafoe,225.0
Santiago,Federico Coria,Gianluca Mager,190.0
Great Ocean Road Open,Miomir Kecmanovic,Salvatore Caruso,183.0
Great Ocean Road Open,Jannik Sinner,Karen Khachanov,187.0
Nur-Sultan,Carlos Taberner,Egor Gerasimov,202.0
Nur-Sultan,John Millman,Jaume Munar,189.0
Marbella,Norbert Gombos,Federico Delbonis,200.0
Cagliari,John Millman,Federico Coria,193.0
Cagliari,Lorenzo Sonego,Laslo Djere,181.0
Belgrade 2,Federico Delbonis,Thiago Monteiro,187.0
Davis Cup Finals RR: AUS vs HUN,Alex De Minaur,Marton Fucsovics,184.0
Davis Cup Finals QF: SRB vs KAZ,Mikhail Kukushkin,Miomir Kecmanovic,197.0
Davis Cup WG2 PO: TUN vs ZIM,Aziz Dougaz,Benjamin Lock,189.0
Davis Cup WG2 R1: LTU vs GRE,Laurynas Grigelis,Michail Pervolarakis,187.0
Amsterdam,Alex Corretja,Younes El Aynaoui,220.0
Kitzbuhel,Nicolas Lapentti,Albert Costa,229.0
Lyon,Xavier Malisse,Arnaud Clement,184.0
Indian Wells Masters,Nicolas Massu,Juan Carlos Ferrero,210.0
Rotterdam,Alex Corretja,Jan Siemerink,189.0
Hamburg Masters,Albert Portas,Juan Carlos Ferrero,217.0
Rome Masters,Juan Carlos Ferrero,Gustavo Kuerten,184.0
Barcelona,Nicolas Massu,Marcelo Charpentier,197.0
Barcelona,Juan Carlos Ferrero,Carlos Moya,249.0
Stockholm,Sjeng Schalken,Jarkko Nieminen,205.0
Sopot,David Sanchez,Mariano Zabaleta,193.0
Buenos Aires,Guillermo Canas,Francisco Clavet,183.0
Roland Garros,Karim Alami,Davide Sanguinetti,234.0
Roland Garros,Sergi Bruguera,Michael Llodra,186.0
Roland Garros,Mariano Puerta,Arnaud Clement,241.0
Roland Garros,Jean Rene Lisnard,Vladimir Voltchkov,249.0
Roland Garros,Dominik Hrbaty,Gaston Gaudio,266.0
Roland Garros,Marcos Ondruska,Ivan Ljubicic,291.0
Roland Garros,Fernando Gonzalez,Cyril Saulnier,198.0
Roland Garros,Jiri Novak,Arnaud Di Pasquale,186.0
Roland Garros,Alberto Martin,Jiri Vanek,187.0
Roland Garros,Lleyton Hewitt,Paul Henri Mathieu,210.0
Roland Garros,Pete Sampras,Cedric Kauffmann,192.0
Roland Garros,Galo Blanco,Rainer Schuettler,186.0
Roland Garros,Younes El Aynaoui,Andrei Medvedev,204.0
Roland Garros,Jan Frode Andersen,Nicolas Thomann,224.0
Roland Garros,Andreas Vinciguerra,Juan Antonio Marin,205.0
Roland Garros,Julien Boutter,Albert Costa,226.0
Roland Garros,Wayne Arthurs,Patrick Rafter,196.0
Roland Garros,Juan Balcells,Nicolas Kiefer,212.0
Roland Garros,David Sanchez,Magnus Norman,221.0
Roland Garros,Alex Corretja,Mariano Zabaleta,240.0
Roland Garros,Jens Knippschild,Fernando Vicente,182.0
Roland Garros,Yevgeny Kafelnikov,Cecil Mamiit,198.0
Roland Garros,Guillermo Canas,Alberto Martin,206.0
Roland Garros,Andy Roddick,Michael Chang,230.0
Roland Garros,Lars Burgsmuller,Younes El Aynaoui,185.0
Roland Garros,Roger Federer,Sargis Sargsian,197.0
Roland Garros,David Sanchez,Carlos Moya,224.0
Roland Garros,Marat Safin,Alex Calatrava,209.0
Roland Garros,Gustavo Kuerten,Karim Alami,191.0
Roland Garros,Thomas Enqvist,Jiri Novak,184.0
Roland Garros,Guillermo Canas,Tim Henman,206.0
Roland Garros,Sebastien Grosjean,Antony Dupuis,190.0
Roland Garros,Wayne Arthurs,Nicolas Coutelot,193.0
Roland Garros,Fabrice Santoro,Marat Safin,192.0
Roland Garros,Gustavo Kuerten,Michael Russell,205.0
Roland Garros,Lleyton Hewitt,Guillermo Canas,252.0
Roland Garros,Gustavo Kuerten,Alex Corretja,192.0
Wimbledon,Chris Woodruff,Jan Michael Gambill,229.0
Wimbledon,Sjeng Schalken,Stefan Koubek,186.0
Wimbledon,Davide Sanguinetti,Albert Portas,191.0
Wimbledon,Todd Woodbridge,Scott Draper,205.0
Wimbledon,Thomas Johansson,Andrew Ilie,208.0
Wimbledon,Carlos Moya,Neville Godwin,204.0
Wimbledon,Arvind Parmar,Andre Sa,251.0
Wimbledon,Stephane Huet,Markus Hipfl,191.0
Wimbledon,Antony Dupuis,Cecil Mamiit,211.0
Wimbledon,Younes El Aynaoui,Edwin Kempes,224.0
Wimbledon,Fernando Meligeni,Guillermo Coria,189.0
Wimbledon,Juan Carlos Ferrero,Jason Stoltenberg,187.0
Wimbledon,Guillermo Canas,Kenneth Carlsen,248.0
Wimbledon,Lleyton Hewitt,Taylor Dent,186.0
Wimbledon,Andrei Stoliarov,Cedric Pioline,234.0
Wimbledon,Nicolas Massu,Fernando Meligeni,251.0
Wimbledon,Nicolas Kiefer,Andrei Stoliarov,195.0
Wimbledon,Roger Federer,Pete Sampras,221.0
Wimbledon,Tim Henman,Todd Martin,217.0
Wimbledon,Nicolas Escude,Lleyton Hewitt,206.0
Wimbledon,Tim Henman,Roger Federer,193.0
Wimbledon,Goran Ivanisevic,Tim Henman,182.0
Wimbledon,Goran Ivanisevic,Patrick Rafter,182.0
US Open,Justin Gimelstob,Michal Tabara,202.0
US Open,Alex Corretja,Raemon Sluiter,216.0
US Open,Jack Brasington,Gianluca Pozzi,201.0
US Open,Juan Carlos Ferrero,Arnaud Di Pasquale,197.0
US Open,Fabrice Santoro,Magnus Larsson,185.0
US Open,Tim Henman,Jan Vacek,232.0
US Open,Hicham Arazi,Agustin Calleri,193.0
US Open,Sjeng Schalken,Martin Lee,182.0
US Open,Nicolas Massu,Francisco Clavet,203.0
US Open,David Nalbandian,Nicolas Escude,232.0
US Open,Lleyton Hewitt,James Blake,186.0
US Open,Greg Rusedski,Jonas Bjorkman,200.0
US Open,Marat Safin,Ivan Ljubicic,207.0
US Open,Ramon Delgado,Rainer Schuettler,231.0
US Open,Andre Agassi,Nicolas Massu,200.0
US Open,Gustavo Kuerten,Max Mirnyi,211.0
US Open,Tommy Robredo,Juan Carlos Ferrero,211.0
US Open,Mariano Zabaleta,Greg Rusedski,186.0
US Open,Xavier Malisse,Tim Henman,227.0
US Open,Lleyton Hewitt,Andy Roddick,220.0
US Open,Pete Sampras,Andre Agassi,212.0
Mallorca,Alberto Martin,Nicolas Massu,189.0
Australian Open,Gustavo Kuerten,Gaston Gaudio,200.0
Australian Open,Lars Burgsmuller,Daniel Elsner,247.0
Australian Open,Nicolas Escude,Juan Balcells,203.0
Australian Open,Chris Woodruff,Jan Michael Gambill,243.0
Australian Open,Fabrice Santoro,Michael Chang,194.0
Australian Open,Jan Siemerink,Sjeng Schalken,198.0
Australian Open,Lleyton Hewitt,Jonas Bjorkman,222.0
Australian Open,Cecil Mamiit,Matthew Breen,198.0
Australian Open,Mariano Zabaleta,Todd Woodbridge,187.0
Australian Open,Slava Dosedel,Albert Portas,184.0
Australian Open,Pete Sampras,Karol Kucera,197.0
Australian Open,Nicolas Lapentti,Hyung Taik Lee,211.0
Australian Open,Christophe Rochus,Justin Gimelstob,210.0
Australian Open,Michal Tabara,Andrea Gaudenzi,217.0
Australian Open,Andrei Pavel,Michael Russell,187.0
Australian Open,Yevgeny Kafelnikov,Nicolas Kiefer,187.0
Australian Open,Lleyton Hewitt,Tommy Haas,183.0
Australian Open,Todd Martin,Agustin Calleri,218.0
Australian Open,Pete Sampras,Bohdan Ulihrach,181.0
Australian Open,Carlos Moya,Lleyton Hewitt,228.0
Australian Open,Pete Sampras,Juan Ignacio Chela,188.0
Australian Open,Arnaud Clement,Yevgeny Kafelnikov,191.0
Australian Open,Arnaud Clement,Sebastien Grosjean,248.0
Australian Open,Andre Agassi,Patrick Rafter,187.0
Sydney,Gilles Muller,Jeremy Chardy,1146.0
Australian Open,Quentin Halys,Ivan Dodig,201.0
Australian Open,Andreas Seppi,Teymuraz Gabashvili,220.0
Australian Open,Renzo Olivo,Jiri Vesely,207.0
Australian Open,Pierre Hugues Herbert,Pablo Andujar,189.0
Australian Open,Dominic Thiem,Leonardo Mayer,186.0
Australian Open,Damir Dzumhur,Kyle Edmund,192.0
Australian Open,Roberto Bautista Agut,Martin Klizan,196.0
Australian Open,Fernando Verdasco,Rafael Nadal,281.0
Australian Open,Jeremy Chardy,Ernests Gulbis,283.0
Australian Open,Tommy Robredo,Malek Jaziri,287.0
Australian Open,Viktor Troicki,Daniel Munoz de la Nava,209.0
Australian Open,Lukas Rosol,Taro Daniel,216.0
Australian Open,Radek Stepanek,Tatsuma Ito,196.0
Australian Open,Guido Pella,Steve Darcis,186.0
Australian Open,Simone Bolelli,Brian Baker,219.0
Australian Open,Gilles Muller,Fabio Fognini,239.0
Australian Open,Federico Delbonis,Renzo Olivo,253.0
Australian Open,Gilles Simon,Evgeny Donskoy,238.0
Australian Open,Stephane Robert,Rajeev Ram,216.0
Australian Open,Feliciano Lopez,Guido Pella,271.0
Australian Open,Bernard Tomic,Simone Bolelli,181.0
Australian Open,John Millman,Gilles Muller,218.0
Australian Open,Novak Djokovic,Gilles Simon,272.0
Australian Open,Tomas Berdych,Roberto Bautista Agut,198.0
Australian Open,Milos Raonic,Stan Wawrinka,224.0
Australian Open,Andy Murray,David Ferrer,200.0
Australian Open,Andy Murray,Milos Raonic,243.0
Rio de Janeiro,Guido Pella,John Isner,181.0
Davis Cup G1 R1: NZL vs KOR,Seong Chan Hong,Jose Rubin Statham,245.0
Davis Cup G1 R1: POR vs AUT,Dominic Thiem,Gastao Elias,208.0
Davis Cup G1 R1: ROU vs SLO,Adrian Ungur,Grega Zemlja,195.0
Davis Cup G2 R1: BIH vs TUN,Malek Jaziri,Tomislav Brkic,233.0
Davis Cup G2 R1: BIH vs TUN,Mirza Basic,Malek Jaziri,239.0
Davis Cup G2 R1: BUL vs TUR,Cem Ilkel,Dimitar Kuzmanov,192.0
Davis Cup G2 R1: EGY vs BLR,Ilya Ivashka,Mohamed Safwat,262.0
Davis Cup G2 R1: EGY vs BLR,Egor Gerasimov,Mohamed Safwat,214.0
Davis Cup G2 R1: LTU vs NOR,Viktor Durasovic,Laurynas Grigelis,217.0
Davis Cup G2 R1: MEX vs GUA,Hans Hach Verdugo,Christopher Diaz Figueroa,243.0
Davis Cup G2 R1: MON vs LAT,Mikelis Libietis,Benjamin Balleret,190.0
Davis Cup G2 R1: PAR vs VEN,Ricardo Rodriguez,Bruno Britez,194.0
Davis Cup G2 R1: PAR vs VEN,Ricardo Rodriguez,Francisco Yim Kim,344.0
Davis Cup G2 R1: SRI vs THA,Sharmal Dissanayake,Puriwat Chatpatcharoen,197.0
Davis Cup G2 R1: SRI vs THA,Pruchya Isarow,Harshana Godamanna,205.0
Davis Cup G2 R1: VIE vs INA,Thien Nguyen Hoang,Aditya Hari Sasongko,215.0
Davis Cup G2 R1: ZIM vs FIN,Harri Heliovaara,Takanyi Garanganga,207.0
Davis Cup WG R1: CRO vs BEL,David Goffin,Borna Coric,186.0
Davis Cup WG R1: CRO vs BEL,David Goffin,Marin Cilic,186.0
Davis Cup WG R1: GBR vs JPN,Andy Murray,Kei Nishikori,294.0
Davis Cup WG R1: GER vs CZE,Tomas Berdych,Alexander Zverev,260.0
Davis Cup WG R1: SRB vs KAZ,Novak Djokovic,Mikhail Kukushkin,297.0
Davis Cup WG R1: SUI vs ITA,Paolo Lorenzi,Marco Chiudinelli,283.0
Indian Wells Masters,Feliciano Lopez,Roberto Bautista Agut,195.0
Marrakech,Jiri Vesely,Nikola Mektic,181.0
Marrakech,Borna Coric,Paul Henri Mathieu,186.0
Monte Carlo Masters,Pablo Cuevas,Daniel Gimeno Traver,200.0
Bucharest,Guillermo Garcia Lopez,Guido Pella,181.0
Rome Masters,Novak Djokovic,Kei Nishikori,181.0
Roland Garros,Pablo Carreno Busta,Federico Delbonis,208.0
Roland Garros,Paul Henri Mathieu,Santiago Giraldo,243.0
Roland Garros,Alexander Zverev,Pierre Hugues Herbert,188.0
Roland Garros,Lucas Pouille,Julien Benneteau,186.0
Roland Garros,Jack Sock,Robin Haase,195.0
Roland Garros,Dustin Brown,Dudi Sela,213.0
Roland Garros,Albert Ramos,Horacio Zeballos,185.0
Roland Garros,Viktor Troicki,Grigor Dimitrov,225.0
Roland Garros,Adam Pavlasek,Roberto Carballes Baena,189.0
Roland Garros,Taro Daniel,Martin Klizan,189.0
Roland Garros,Stan Wawrinka,Lukas Rosol,191.0
Roland Garros,Ivan Dodig,Mikhail Youzhny,256.0
Roland Garros,John Isner,John Millman,200.0
Roland Garros,Mathias Bourgue,Jordi Samper Montana,206.0
Roland Garros,Andy Murray,Radek Stepanek,221.0
Roland Garros,Aljaz Bedene,Pablo Carreno Busta,199.0
Roland Garros,David Ferrer,Juan Monaco,192.0
Roland Garros,Jo-Wilfried Tsonga,Marcos Baghdatis,206.0
Roland Garros,Gilles Simon,Guido Pella,272.0
Roland Garros,Ivo Karlovic,Jordan Thompson,271.0
Roland Garros,Andy Murray,Mathias Bourgue,214.0
Roland Garros,Albert Ramos,Jack Sock,251.0
Roland Garros,Kei Nishikori,Fernando Verdasco,201.0
Roland Garros,John Isner,Teymuraz Gabashvili,187.0
Roland Garros,Novak Djokovic,Roberto Bautista Agut,192.0
Roland Garros,Andy Murray,Richard Gasquet,203.0
Roland Garros,Novak Djokovic,Andy Murray,183.0
Wimbledon,Sam Querrey,Lukas Rosol,201.0
Wimbledon,Damir Dzumhur,Denis Kudla,186.0
Wimbledon,Nicolas Almagro,Rogerio Dutra Silva,185.0
Wimbledon,Denis Istomin,Kevin Anderson,215.0
Wimbledon,Daniel Evans,Jan Lennard Struff,196.0
Wimbledon,Gilles Simon,Janko Tipsarevic,209.0
Wimbledon,Gilles Muller,Santiago Giraldo,255.0
Wimbledon,Joao Sousa,Dmitry Tursunov,193.0
Wimbledon,Tomas Berdych,Ivan Dodig,203.0
Wimbledon,Matthew Barton,Albano Olivetti,242.0
Wimbledon,Benoit Paire,Franko Skugor,233.0
Wimbledon,Grigor Dimitrov,Gilles Simon,182.0
Wimbledon,Alexander Zverev,Mikhail Youzhny,198.0
Wimbledon,Feliciano Lopez,Fabio Fognini,187.0
Wimbledon,Jo-Wilfried Tsonga,John Isner,264.0
Wimbledon,Milos Raonic,David Goffin,182.0
Wimbledon,Tomas Berdych,Jiri Vesely,235.0
Wimbledon,Roger Federer,Marin Cilic,197.0
Wimbledon,Andy Murray,Jo-Wilfried Tsonga,233.0
Wimbledon,Milos Raonic,Roger Federer,204.0
Hamburg,Daniel Gimeno Traver,Daniil Medvedev,187.0
Davis Cup G1 R2: BRA vs ECU,Thomaz Bellucci,Emilio Gomez,202.0
Davis Cup G1 R2: CHN vs UZB,Ze Zhang,Denis Istomin,181.0
Davis Cup G1 R2: CHN vs UZB,Farrukh Dustov,Di Wu,184.0
Davis Cup G1 R2: ESP vs ROU,Feliciano Lopez,Marius Copil,217.0
Davis Cup G1 R2: HUN vs SVK,Jozef Kovalik,Marton Fucsovics,213.0
Davis Cup G1 R2: IND vs KOR,Saketh Myneni,Yong Kyu Lim,189.0
Davis Cup G1 R2: RUS vs NED,Teymuraz Gabashvili,Thiemo De Bakker,209.0
Davis Cup G1 R2: UKR vs AUT,Illya Marchenko,Dennis Novak,242.0
Davis Cup G1 R2: UKR vs AUT,Jurgen Melzer,Illya Marchenko,248.0
Davis Cup G2 R2: PER vs MEX,Mauricio Echazu,Luis Patino,224.0
Davis Cup G2 R2: TUR vs BIH,Marsel Ilhan,Mirza Basic,214.0
Davis Cup WG QF: FRA vs CZE,Lukas Rosol,Jo-Wilfried Tsonga,232.0
Davis Cup WG QF: FRA vs CZE,Jo-Wilfried Tsonga,Jiri Vesely,208.0
Davis Cup WG QF: ITA vs ARG,Federico Delbonis,Andreas Seppi,218.0
Davis Cup WG QF: ITA vs ARG,Federico Delbonis,Fabio Fognini,214.0
Davis Cup WG QF: USA vs CRO,Jack Sock,Marin Cilic,193.0
Kitzbuhel,Paolo Lorenzi,Jan Lennard Struff,188.0
Los Cabos,Pablo Carreno Busta,Santiago Giraldo,181.0
Rio Olympics,Juan Martin del Potro,Rafael Nadal,188.0
Rio Olympics,Andy Murray,Juan Martin del Potro,242.0
Cincinnati Masters,Steve Johnson,Federico Delbonis,195.0
US Open,Jiri Vesely,Saketh Myneni,227.0
US Open,John Isner,Frances Tiafoe,207.0
US Open,Steve Darcis,Jordan Thompson,251.0
US Open,James Duckworth,Robin Haase,188.0
US Open,Jack Sock,Taylor Fritz,200.0
US Open,Sergiy Stakhovsky,Gastao Elias,200.0
US Open,Albert Ramos,Julien Benneteau,201.0
US Open,Federico Delbonis,Brian Baker,224.0
US Open,Roberto Bautista Agut,Guillermo Garcia Lopez,210.0
US Open,Jan Satral,Mackenzie Mcdonald,186.0
US Open,Pablo Cuevas,Dudi Sela,182.0
US Open,Dominic Thiem,John Millman,185.0
US Open,Janko Tipsarevic,Sam Querrey,194.0
US Open,Steve Johnson,Evgeny Donskoy,192.0
US Open,Fabio Fognini,Teymuraz Gabashvili,287.0
US Open,Illya Marchenko,Ivan Dodig,230.0
US Open,Ivo Karlovic,Yen Hsun Lu,226.0
US Open,Viktor Troicki,Radu Albot,263.0
US Open,Lucas Pouille,Marco Chiudinelli,189.0
US Open,Ryan Harrison,Milos Raonic,217.0
US Open,Pablo Carreno Busta,Janko Tipsarevic,205.0
US Open,David Ferrer,Fabio Fognini,205.0
US Open,Daniel Evans,Alexander Zverev,189.0
US Open,Grigor Dimitrov,Jeremy Chardy,186.0
US Open,Paolo Lorenzi,Gilles Simon,294.0
US Open,Lucas Pouille,Roberto Bautista Agut,204.0
US Open,Stan Wawrinka,Daniel Evans,242.0
US Open,Andy Murray,Paolo Lorenzi,196.0
US Open,Jo-Wilfried Tsonga,Jack Sock,193.0
US Open,Lucas Pouille,Rafael Nadal,246.0
US Open,Stan Wawrinka,Juan Martin del Potro,192.0
US Open,Kei Nishikori,Andy Murray,237.0
US Open,Stan Wawrinka,Kei Nishikori,187.0
US Open,Stan Wawrinka,Novak Djokovic,234.0
Davis Cup G2 R3: BLR vs DEN,Frederik Nielsen,Yaraslav Shyla,205.0
Davis Cup G2 R3: BLR vs DEN,Ilya Ivashka,Frederik Nielsen,253.0
Davis Cup G2 R3: PER vs VEN,Mauricio Echazu,Jordi Munoz Abreu,188.0
Davis Cup G2 R3: PER vs VEN,Ricardo Rodriguez,Mauricio Echazu,211.0
Davis Cup G2 R3: TPE vs THA,Kuan Yi Lee,Kittipong Wachiramanowong,201.0
Davis Cup WG PO: GER vs POL,Jan Lennard Struff,Kamil Majchrzak,223.0
Davis Cup WG PO: JPN vs UKR,Yoshihito Nishioka,Illya Marchenko,205.0
Davis Cup WG PO: KAZ vs RUS,Andrey Kuznetsov,Aleksandr Nedovyesov,206.0
Davis Cup WG PO: KAZ vs RUS,Mikhail Kukushkin,Evgeny Donskoy,242.0
Davis Cup WG PO: SUI vs UZB,Denis Istomin,Henri Laaksonen,248.0
Davis Cup WG PO: SUI vs UZB,Antoine Bellier,Jurabek Karimov,195.0
Davis Cup WG SF: GBR vs ARG,Juan Martin del Potro,Andy Murray,307.0
Davis Cup WG SF: GBR vs ARG,Guido Pella,Kyle Edmund,181.0
Chengdu,Marcos Baghdatis,Pablo Carreno Busta,181.0
Tour Finals,Andy Murray,Kei Nishikori,200.0
Tour Finals,Andy Murray,Milos Raonic,218.0
Davis Cup WG F: ARG vs CRO,Marin Cilic,Federico Delbonis,210.0
Davis Cup WG F: ARG vs CRO,Juan Martin del Potro,Ivo Karlovic,198.0
Davis Cup WG F: ARG vs CRO,Juan Martin del Potro,Marin Cilic,293.0
Poertschach,Ruben Ramirez Hidalgo,Nicolas Lapentti,191.0
Poertschach,Gilles Simon,Torsten Popp,241.0
Queen's Club,Rafael Nadal,Fernando Verdasco,181.0
Queen's Club,Lleyton Hewitt,James Blake,186.0
Gstaad,Richard Gasquet,Feliciano Lopez,185.0
Amersfoort,Ruben Ramirez Hidalgo,Carlos Berlocq,183.0
Kitzbuhel,Alexander Waske,Lukasz Kubot,189.0
Kitzbuhel,Nicolas Massu,Alex Calatrava,186.0
Stuttgart,Florian Mayer,Andreas Beck,186.0
Stuttgart,David Ferrer,Jose Acasuso,300.0
Sydney,Igor Andreev,Peter Luczak,195.0
Paris Masters,Nicolas Almagro,Jonas Bjorkman,186.0
Miami Masters,Max Mirnyi,Gilles Muller,193.0
Miami Masters,Radek Stepanek,Nicolas Massu,191.0
Miami Masters,David Ferrer,Olivier Rochus,198.0
Monte Carlo Masters,Jan Hernych,Julien Benneteau,198.0
Monte Carlo Masters,Jean Rene Lisnard,Andy Murray,187.0
Monte Carlo Masters,Rafael Nadal,Roger Federer,230.0
Rome Masters,Ruben Ramirez Hidalgo,Marat Safin,182.0
Rome Masters,Mario Ancic,Ruben Ramirez Hidalgo,190.0
Rome Masters,Rafael Nadal,Roger Federer,305.0
Canada Masters,Fernando Gonzalez,Ivan Ljubicic,184.0
Umag,Filippo Volandri,Ruben Ramirez Hidalgo,183.0
s Hertogenbosch,Novak Djokovic,Alexander Waske,182.0
Estoril,Nicolas Lapentti,Michal Przysiezny,188.0
Estoril,Guillermo Garcia Lopez,Carlos Berlocq,206.0
Dubai,Igor Andreev,Andreas Seppi,198.0
Vina del Mar,Nicolas Massu,Fernando Gonzalez,192.0
Buenos Aires,Boris Pashanski,Juan Pablo Brzezicki,191.0
Roland Garros,Nicolas Massu,Xavier Malisse,265.0
Roland Garros,Mario Ancic,Nathan Healey,196.0
Roland Garros,Stefano Galvani,Florian Mayer,205.0
Roland Garros,Jose Acasuso,Fabrice Santoro,237.0
Roland Garros,Lukas Dlouhy,Kristof Vliegen,209.0
Roland Garros,Nicolas Lapentti,Wesley Moodie,269.0
Roland Garros,Philipp Kohlschreiber,Oliver Marach,183.0
Roland Garros,Flavio Saretta,Potito Starace,258.0
Roland Garros,Jiri Vanek,Nicolas Mahut,242.0
Roland Garros,Christophe Rochus,Thomas Johansson,189.0
Roland Garros,Gael Monfils,Andy Murray,222.0
Roland Garros,Alexander Waske,Fernando Vicente,206.0
Roland Garros,Nicolas Kiefer,Marc Gicquel,290.0
Roland Garros,Albert Montanes,Stefano Galvani,181.0
Roland Garros,Martin Vassallo Arguello,Sebastien Grosjean,238.0
Roland Garros,Gaston Gaudio,Evgeny Korolev,212.0
Roland Garros,Julien Benneteau,Marcos Baghdatis,226.0
Roland Garros,Gael Monfils,Dick Norman,199.0
Roland Garros,Tommy Haas,Alexander Waske,197.0
Roland Garros,Novak Djokovic,Fernando Gonzalez,183.0
Roland Garros,Dominik Hrbaty,Ivo Karlovic,204.0
Roland Garros,David Nalbandian,Dmitry Tursunov,191.0
Roland Garros,Martin Vassallo Arguello,Raemon Sluiter,186.0
Roland Garros,Gaston Gaudio,Juan Carlos Ferrero,195.0
Roland Garros,Alberto Martin,Olivier Rochus,239.0
Roland Garros,Julien Benneteau,Radek Stepanek,213.0
Roland Garros,Ivan Ljubicic,Juan Monaco,240.0
Roland Garros,Gael Monfils,James Blake,201.0
Roland Garros,Rafael Nadal,Paul Henri Mathieu,293.0
Roland Garros,Mario Ancic,Tommy Robredo,229.0
Roland Garros,Ivan Ljubicic,Ruben Ramirez Hidalgo,182.0
Roland Garros,Rafael Nadal,Lleyton Hewitt,197.0
Roland Garros,Rafael Nadal,Roger Federer,182.0
Wimbledon,Tim Henman,Robin Soderling,195.0
Wimbledon,Agustin Calleri,Paradorn Srichaphan,186.0
Wimbledon,Stan Wawrinka,Ivo Karlovic,232.0
Wimbledon,Stefano Galvani,Alexander Waske,296.0
Wimbledon,Mark Philippoussis,Paul Henri Mathieu,195.0
Wimbledon,Guillermo Garcia Lopez,Ivo Minar,189.0
