tourney_name,winner_name,loser_name,minutes
Wimbledon,Radu Albot,Pablo Carreno Busta,181.0
Wimbledon,Horacio Zeballos,Guido Andreozzi,195.0
Wimbledon,Ernests Gulbis,Jay Clarke,196.0
Wimbledon,Matteo Berrettini,Jack Sock,225.0
Wimbledon,Jan Lennard Struff,Ivo Karlovic,235.0
Wimbledon,Guido Pella,Marin Cilic,193.0
Wimbledon,Mackenzie Mcdonald,Nicolas Jarry,211.0
Wimbledon,John Isner,Ruben Bemelmans,226.0
Wimbledon,Radu Albot,Aljaz Bedene,261.0
Wimbledon,Stefanos Tsitsipas,Jared Donaldson,205.0
Wimbledon,Karen Khachanov,Marcos Baghdatis,195.0
Wimbledon,Ernests Gulbis,Damir Dzumhur,181.0
Wimbledon,Alexander Zverev,Taylor Fritz,192.0
Wimbledon,Alex De Minaur,Pierre Hugues Herbert,185.0
Wimbledon,Adrian Mannarino,Daniil Medvedev,192.0
Wimbledon,Ernests Gulbis,Alexander Zverev,200.0
Wimbledon,Kevin Anderson,Gael Monfils,209.0
Wimbledon,Kei Nishikori,Ernests Gulbis,208.0
Wimbledon,Juan Martin del Potro,Gilles Simon,264.0
Wimbledon,Kevin Anderson,Roger Federer,254.0
Wimbledon,Rafael Nadal,Juan Martin del Potro,288.0
Wimbledon,Kevin Anderson,John Isner,396.0
Wimbledon,Novak Djokovic,Rafael Nadal,315.0
Washington,Andy Murray,Marius Copil,182.0
US Open,Lorenzo Sonego,Gilles Muller,256.0
US Open,Nikoloz Basilashvili,Aljaz Bedene,195.0
US Open,Paolo Lorenzi,Kyle Edmund,192.0
US Open,Taylor Fritz,Mischa Zverev,228.0
US Open,Kevin Anderson,Ryan Harrison,254.0
US Open,Andy Murray,James Duckworth,197.0
US Open,Roberto Carballes Baena,Mitchell Krueger,195.0
US Open,Cameron Norrie,Jordan Thompson,199.0
US Open,Julien Benneteau,Marco Cecchinato,200.0
US Open,Robin Haase,Mackenzie Mcdonald,182.0
US Open,Jaume Munar,Ruben Bemelmans,238.0
US Open,Matthew Ebden,Filip Krajinovic,218.0
US Open,Philipp Kohlschreiber,Yannick Hanfmann,202.0
US Open,Nicolas Mahut,Corentin Moutet,203.0
US Open,Fabio Fognini,Michael Mmoh,193.0
US Open,Benoit Paire,Dennis Novak,185.0
US Open,Dominic Thiem,Steve Johnson,214.0
US Open,Denis Shapovalov,Andreas Seppi,227.0
US Open,Fernando Verdasco,Andy Murray,203.0
US Open,John Isner,Nicolas Jarry,218.0
US Open,Stan Wawrinka,Ugo Humbert,201.0
US Open,Lucas Pouille,Marcos Baghdatis,198.0
US Open,Joao Sousa,Pablo Carreno Busta,187.0
US Open,Rafael Nadal,Karen Khachanov,263.0
US Open,Dominic Thiem,Taylor Fritz,199.0
US Open,Kevin Anderson,Denis Shapovalov,223.0
US Open,John Isner,Dusan Lajovic,206.0
US Open,Marin Cilic,Alex De Minaur,240.0
US Open,Kei Nishikori,Diego Schwartzman,198.0
US Open,Philipp Kohlschreiber,Alexander Zverev,189.0
US Open,Joao Sousa,Lucas Pouille,218.0
US Open,Rafael Nadal,Nikoloz Basilashvili,199.0
US Open,John Isner,Milos Raonic,188.0
US Open,John Millman,Roger Federer,215.0
US Open,Rafael Nadal,Dominic Thiem,289.0
US Open,Juan Martin del Potro,John Isner,211.0
US Open,Kei Nishikori,Marin Cilic,248.0
US Open,Novak Djokovic,Juan Martin del Potro,196.0
Davis Cup WG PO: ARG vs COL,Guido Pella,Daniel Elahi Galan,226.0
Davis Cup WG PO: CAN vs NED,Denis Shapovalov,Robin Haase,215.0
Davis Cup WG PO: GBR vs UZB,Daniel Evans,Denis Istomin,251.0
Davis Cup WG PO: GBR vs UZB,Jurabek Karimov,Cameron Norrie,220.0
Davis Cup WG PO: HUN vs CZE,Zsombor Piros,Jiri Vesely,260.0
Davis Cup WG PO: SRB vs IND,Laslo Djere,Ramkumar Ramanathan,191.0
Davis Cup WG PO: SUI vs SWE,Markus Eriksson,Marc Andrea Huesler,225.0
Davis Cup WG SF: CRO vs USA,Sam Querrey,Marin Cilic,191.0
Davis Cup WG SF: CRO vs USA,Borna Coric,Frances Tiafoe,246.0
Davis Cup WG SF: FRA vs ESP,Lucas Pouille,Roberto Bautista Agut,220.0
Shenzhen,Denis Shapovalov,Ilya Ivashka,289.0
Tokyo,Alex De Minaur,Gilles Simon,185.0
Vienna,Mikhail Kukushkin,Marton Fucsovics,198.0
Paris Masters,Novak Djokovic,Roger Federer,182.0
Australian Open,Thanasi Kokkinakis,Igor Sijsling,182.0
Australian Open,Jack Sock,Tobias Kamke,242.0
Australian Open,Andreas Seppi,Lleyton Hewitt,258.0
Australian Open,Dusan Lajovic,Lucas Pouille,183.0
Australian Open,Kei Nishikori,Marinko Matosevic,221.0
Australian Open,Juan Martin del Potro,Rhyne Williams,184.0
Australian Open,Vincent Millot,Wayne Odesnik,209.0
Australian Open,Marin Cilic,Marcel Granollers,192.0
Australian Open,Gilles Simon,Daniel Brands,272.0
Australian Open,Kevin Anderson,Jiri Vesely,229.0
Australian Open,Dominic Thiem,Joao Sousa,185.0
Australian Open,Edouard Roger Vasselin,Carlos Berlocq,228.0
Australian Open,Jerzy Janowicz,Jordan Thompson,196.0
Australian Open,Alejandro Falla,Mikhail Kukushkin,189.0
Australian Open,Matthew Ebden,Nicolas Mahut,184.0
Australian Open,Tommy Robredo,Lukas Rosol,212.0
Australian Open,Julien Benneteau,Pablo Carreno Busta,183.0
Australian Open,Nikolay Davydenko,Lukasz Kubot,219.0
Australian Open,Jarkko Nieminen,Dudi Sela,218.0
Australian Open,Ernests Gulbis,Juan Monaco,189.0
Australian Open,Donald Young,Andreas Seppi,211.0
Australian Open,Benoit Paire,Nick Kyrgios,200.0
Australian Open,Roberto Bautista Agut,Juan Martin del Potro,233.0
Australian Open,Gilles Simon,Marin Cilic,237.0
Australian Open,Teymuraz Gabashvili,Fernando Verdasco,211.0
Australian Open,Florian Mayer,Mikhail Youzhny,186.0
Australian Open,Jerzy Janowicz,Pablo Andujar,205.0
Australian Open,Jeremy Chardy,Alexandr Dolgopolov,211.0
Australian Open,David Ferrer,Adrian Mannarino,182.0
Australian Open,Tommy Robredo,Julien Benneteau,212.0
Australian Open,Kevin Anderson,Edouard Roger Vasselin,234.0
Australian Open,Tommy Robredo,Richard Gasquet,199.0
Australian Open,Rafael Nadal,Kei Nishikori,197.0
Australian Open,Rafael Nadal,Grigor Dimitrov,217.0
Australian Open,Roger Federer,Andy Murray,200.0
Australian Open,Tomas Berdych,David Ferrer,184.0
Australian Open,Stan Wawrinka,Novak Djokovic,240.0
Australian Open,Stan Wawrinka,Tomas Berdych,211.0
Delray Beach,Marin Cilic,Kevin Anderson,189.0
Miami Masters,Joao Sousa,Gilles Simon,184.0
Miami Masters,Kei Nishikori,David Ferrer,185.0
Casablanca,Roberto Carballes Baena,Joao Sousa,193.0
Rome Masters,Rafael Nadal,Gilles Simon,199.0
Rome Masters,Novak Djokovic,Milos Raonic,181.0
Roland Garros,Steve Johnson,Laurent Lokoli,237.0
Roland Garros,Axel Michon,Bradley Klahn,226.0
Roland Garros,Carlos Berlocq,Lleyton Hewitt,188.0
Roland Garros,Marinko Matosevic,Dustin Brown,181.0
Roland Garros,Aleksandr Nedovyesov,Somdev Devvarman,193.0
Roland Garros,Mikhail Kukushkin,Nicolas Mahut,196.0
Roland Garros,Radek Stepanek,Facundo Arguello,208.0
Roland Garros,Facundo Bagnis,Julien Benneteau,267.0
Roland Garros,Jurgen Melzer,David Goffin,207.0
Roland Garros,Jarkko Nieminen,Michal Przysiezny,228.0
Roland Garros,Fernando Verdasco,Pablo Cuevas,233.0
Roland Garros,John Isner,Mikhail Kukushkin,198.0
Roland Garros,Marcel Granollers,Alexandr Dolgopolov,187.0
Roland Garros,Martin Klizan,Robin Haase,185.0
Roland Garros,Guillermo Garcia Lopez,Donald Young,227.0
Roland Garros,Gael Monfils,Fabio Fognini,204.0
Roland Garros,Andy Murray,Philipp Kohlschreiber,247.0
Roland Garros,John Isner,Tommy Robredo,198.0
Roland Garros,Roger Federer,Dmitry Tursunov,187.0
Roland Garros,Milos Raonic,Gilles Simon,196.0
Roland Garros,Marcel Granollers,Martin Klizan,254.0
Roland Garros,Novak Djokovic,Marin Cilic,191.0
Roland Garros,Ernests Gulbis,Roger Federer,222.0
Roland Garros,Andy Murray,Gael Monfils,195.0
Roland Garros,Rafael Nadal,Novak Djokovic,211.0
s Hertogenbosch,Jurgen Melzer,Fernando Verdasco,185.0
Wimbledon,Jan Hernych,Tobias Kamke,199.0
Wimbledon,Fabio Fognini,Alex Kuznetsov,189.0
Wimbledon,Leonardo Mayer,Andreas Seppi,195.0
Wimbledon,Julian Reister,Michael Russell,230.0
Wimbledon,Jerzy Janowicz,Somdev Devvarman,184.0
Wimbledon,Lleyton Hewitt,Michal Przysiezny,182.0
Wimbledon,Marcel Granollers,Nicolas Mahut,194.0
Wimbledon,Dusan Lajovic,Guillermo Garcia Lopez,184.0
Wimbledon,Novak Djokovic,Radek Stepanek,197.0
Wimbledon,Jimmy Wang,Mikhail Youzhny,183.0
Wimbledon,Jo-Wilfried Tsonga,Sam Querrey,229.0
Wimbledon,Jeremy Chardy,Marinko Matosevic,255.0
Wimbledon,Andrey Kuznetsov,David Ferrer,192.0
Wimbledon,Jerzy Janowicz,Lleyton Hewitt,227.0
Wimbledon,Santiago Giraldo,Marcel Granollers,205.0
Wimbledon,Simone Bolelli,Philipp Kohlschreiber,182.0
Wimbledon,Nick Kyrgios,Richard Gasquet,233.0
Wimbledon,Jiri Vesely,Gael Monfils,201.0
Wimbledon,Tommy Robredo,Jerzy Janowicz,184.0
Wimbledon,Kei Nishikori,Simone Bolelli,193.0
Wimbledon,Novak Djokovic,Marin Cilic,198.0
Wimbledon,Novak Djokovic,Grigor Dimitrov,182.0
Wimbledon,Novak Djokovic,Roger Federer,236.0
US Open,Paul Henri Mathieu,Gilles Muller,258.0
US Open,Jan Lennard Struff,Mikhail Kukushkin,193.0
US Open,Benoit Paire,Julien Benneteau,244.0
US Open,Fernando Verdasco,Blaz Rola,197.0
US Open,Andy Murray,Robin Haase,188.0
US Open,Nick Kyrgios,Mikhail Youzhny,183.0
US Open,Martin Klizan,Steve Darcis,217.0
US Open,Illya Marchenko,Marco Chiudinelli,259.0
US Open,Kevin Anderson,Pablo Cuevas,242.0
