year,0
163.,4
168.,13
170.,41
172.,3
173.,33
175.,334
178.,393
180.,1076
181.,4
183.,1136
185.,1460
1877,21
1878,34
1879,45
188.,1413
1880,60
1881,72
1882,67
1883,49
1884,63
1885,49
1886,55
1887,40
1888,57
1889,56
1890,83
1891,93
1892,97
1893,106
1894,85
1895,100
1896,85
1897,93
1898,90
1899,75
190.,2052
1900,91
1901,92
1902,129
1903,123
1904,153
1905,206
1906,202
1907,226
1908,237
1909,267
1910,286
1911,324
1912,262
1913,296
1914,285
1915,142
1916,127
1917,63
1918,86
1919,265
1920,326
1921,290
1922,316
1923,277
1924,329
1925,387
1926,395
1927,397
1928,412
1929,436
193.,1266
1930,448
1931,437
1932,456
1933,500
1934,426
1935,414
1936,407
1937,441
1938,435
1939,389
194.,16
1940,108
1941,63
1942,63
1943,31
1944,31
1945,46
1946,393
1947,423
1948,458
1949,419
1950,428
1951,460
1952,514
1953,500
1954,514
1955,530
1956,526
1957,497
1958,507
1959,526
196.,396
1960,524
1961,531
1962,574
1963,588
1964,576
1965,591
1966,604
1967,635
1968,4433
1969,3095
1970,3287
1971,3720
1972,3577
1973,4397
1974,4153
1975,4195
1976,3885
1977,4125
1978,4860
1979,5025
198.,247
1980,4822
1981,5476
1982,5565
1983,4745
1984,4322
1985,4690
1986,5043
1987,5615
1988,6536
1989,6527
1990,6208
1991,15700
1992,14977
1993,16878
1994,17400
1995,18288
1996,19423
1997,20391
1998,20233
1999,20053
2000,19797
2001,20880
2002,20028
2003,21236
2004,22430
2005,23438
2006,24319
2007,25992
2008,26664
2009,25115
201.,22
2010,24701
2011,25990
2012,27979
2013,29359
2014,29956
2015,31132
2016,32640
2017,30555
2018,30162
2019,28015
2020,9336
2021,22063
2022,29239
2023,31275
2024,12361
203.,418
206.,9
208.,5
226.,3
227.,3
228.,3
229.,3
230.,3
231.,3
232.,3
233.,3
234.,3
235.,3
236.,3
237.,3
238.,39
239.,39
240.,39
241.,39
242.,39
243.,39
244.,39
245.,39
246.,40
247.,40
248.,40
249.,40
250.,40
251.,40
252.,40
253.,40
254.,43
255.,43
256.,43
257.,43
258.,43
259.,43
260.,43
261.,43
262.,43
263.,43
264.,43
265.,43
266.,43
267.,43
268.,43
269.,45
270.,76
271.,76
272.,77
273.,77
274.,92
275.,92
276.,92
277.,92
278.,160
279.,160
280.,160
281.,160
282.,160
283.,160
284.,160
285.,161
286.,644
287.,645
288.,651
289.,651
290.,652
291.,653
292.,653
293.,653
294.,653
295.,653
296.,653
297.,653
298.,653
299.,653
300.,653
