tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-0329,Tokyo,Hard,32,A,20231016,284,208278,,WC,Shintaro Mochizuki,R,,JPN,20.3,144869,,,Tomas Martin Etcheverry,R,196,ARG,24.2,6-4 7-6(5),3,R32,122,2,3,79,49,32,20,11,3,4,4,3,73,50,36,11,11,6,8,215,284,31,1341
1997-416,Rome Masters,Clay,64,M,19970512,52,101806,,,Marc Kevin Goellner,R,196,GER,26.6,102610,11,,Albert Costa,R,180,ESP,21.8,6-4 3-6 6-4,3,R16,119,12,3,95,45,36,25,14,3,5,5,2,101,76,49,13,15,4,7,47,916,10,1930
1971-319,Kitzbuhel,Clay,32,A,19710719,270,100130,,,Vladimir Zednik,R,,CZE,24.4,100137,,,Hans Jurgen Pohmann,R,178,GER,24.1,6-3 6-3 6-4,5,R32,,,,,,,,,,,,,,,,,,,,,,,
1985-311,Queen's Club,Grass,64,A,19850610,56,100901,9,,Paul Annacone,R,185,USA,22.2,100529,2,,Kevin Curren,R,185,USA,27.2,6-7 7-6 8-6,3,R16,,,,,,,,,,,,,,,,,,,,27,,9,
2012-301,Auckland,Hard,28,A,20120109,4,104122,,,Carlos Berlocq,R,183,ARG,28.9,103835,,,Filippo Volandri,R,183,ITA,30.3,6-5 RET,3,R32,67,2,2,46,33,18,6,5,6,9,0,2,45,24,12,8,6,4,8,59,801,70,696
1997-890,Shanghai,Carpet,32,A,19970127,20,101468,,,Gerard Solves,R,185,FRA,28.8,102925,,,Justin Gimelstob,R,196,USA,20.0,7-5 7-6(5),3,R16,111,5,1,88,64,48,9,12,8,9,6,4,83,50,39,13,12,1,3,157,270,139,308
1994-580,Australian Open,Hard,128,G,19940117,45,101549,,,Rodolphe Gilbert,L,183,FRA,25.0,102146,,,Jordi Burillo,R,188,ESP,21.1,5-7 7-5 6-3 6-1,5,R128,,5,1,117,66,53,28,20,5,8,8,15,134,60,48,25,20,4,11,84,545,70,603
1992-540,Wimbledon,Grass,128,G,19920622,22,101412,,,Shuzo Matsuoka,R,185,JPN,24.6,101613,,,Malivai Washington,R,180,USA,23.0,7-5 6-4 6-1,5,R128,111,26,0,99,77,70,17,15,0,0,5,11,104,49,35,22,14,6,10,49,672,22,1115
2007-375,Lyon,Carpet,32,A,20071022,30,102967,,,Marc Gicquel,R,188,FRA,30.5,104268,,Q,Alejandro Falla,L,185,COL,23.9,4-6 6-2 7-6(7),3,SF,125,4,1,97,65,50,20,15,3,4,8,1,88,54,41,22,15,1,3,79,500,128,335
2013-520,Roland Garros,Clay,128,G,20130527,40,104597,11,,Nicolas Almagro,R,183,ESP,27.7,104890,,LL,Andreas Haider Maurer,R,190,AUT,26.1,4-6 6-4 6-3 6-3,5,R128,135,13,6,107,57,50,28,19,3,4,8,3,105,68,50,20,19,3,7,13,2375,105,518
1997-441,Long Island,Hard,32,A,19970818,19,101191,,,Richey Reneberg,R,180,USA,31.8,101589,,,Arnaud Boetsch,R,183,FRA,28.3,6-4 6-1,3,R16,64,2,1,55,28,18,17,9,1,2,1,3,41,25,16,5,8,1,5,63,767,35,1049
1998-741,Nottingham,Grass,32,A,19980615,14,102110,,Q,Daniel Nestor,L,190,CAN,25.7,102567,,Q,George Bastl,R,183,SUI,23.2,7-5 6-3,3,R32,75,7,6,54,35,26,9,10,3,5,5,3,73,50,32,8,11,6,11,110,445,237,167
