ranking_date,rank,player,points
20141229,156,105357,328
20111226,1853,105484,1
20061204,1538,104631,1
20120109,968,104221,8
20111219,409,106066,93
20160222,1578,200514,2
20160229,11,104545,2585
20140407,1501,121920,3
20080331,72,103898,533
19930920,204,100628,176
20211018,590,111806,49
19940418,185,102477,201
20170529,793,110740,24
20211220,73,106432,874
20230529,407,105589,112
20220418,1257,104998,5
20161017,679,111515,35
19940704,924,102140,6
20080414,460,105559,61
20061030,1418,104052,2
19980824,1329,102283,1
19910902,1095,106779,1
20140421,1152,106163,7
20030127,970,104138,6
20160111,1744,105606,2
20161107,250,120775,204
20080114,69,103454,544
20070910,1497,109272,1
20060710,1433,109011,2
20200210,1584,208684,1
19891211,1021,102157,
20101227,203,105558,245
20001211,735,102889,15
20170619,419,106162,93
20050110,1347,106991,2
19880516,168,100730,
20100201,959,105712,9
20151109,781,108705,28
19930726,609,108549,22
20011001,222,102735,169
20050711,468,104216,56
19901224,1007,101349,1
20050124,1459,104005,1
19980824,1110,101702,4
20050530,1027,104533,6
20130715,1926,104029,1
20211018,1748,126271,1
20060424,1519,108892,1
19891023,32,101030,
19911104,444,108227,36
20061002,221,103114,174
20040503,425,102687,65
20121224,244,105441,195
19950814,797,101899,10
20240506,208,106167,293
19900122,94,101233,
19871005,943,106507,
20151123,1877,104724,1
20040510,1408,109040,1
19890821,629,101605,
20080714,1359,109634,2
19870413,582,101561,
19910715,940,108396,3
20120423,1798,106294,1
20121029,1006,104738,8
19871102,325,100616,
20150921,1402,110600,3
19971229,824,102063,
20170918,497,105934,69
19890619,1061,126073,
20180101,488,104944,72
20050829,620,103126,31
20150323,1848,108742,1
19910401,261,101685,84
20191216,1328,208925,3
20150713,185,105916,265
19991018,731,103374,19
20121105,931,104956,11
20130318,1430,106432,2
20050221,700,107891,22
19960401,1256,103154,1
19950213,595,101226,27
19990802,615,102428,30
19930628,348,100995,
20030526,1345,103462,1
19900305,1086,107811,1
19970901,1048,117882,
20211122,1471,126216,3
20110516,1283,105236,3
20081222,495,105331,54
19900813,996,101826,1
