tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2018-7736,Shymkent CH,Clay,32,C,20180604,287,104873,,,Aleksandr Nedovyesov,R,193,KAZ,31.2,109054,,Q,Daniel Masur,R,183,GER,23.5,7-5 6-2,3,R16,80,1,1,52,33,30,7,10,0,1,4,4,66,40,26,13,10,9,13,272,204,367,121
2023-9560,Cary CH,Hard,32,C,20230807,270,208014,2,,Rinky Hijikata,U,,AUS,22.4,200647,,,Sho Shimabukuro,U,,JPN,26.0,6-3 6-2,3,R32,98,2,6,73,37,29,17,9,9,10,1,2,58,32,19,11,8,5,9,118,544,156,391
1998-583,Manchester CH,Grass,32,C,19980713,16,101681,2,,Chris Wilkinson,R,180,GBR,28.5,103157,,Q,Arvind Parmar,R,193,GBR,20.3,7-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,,149,317,475,57
1982-262,Sydney CH,Hard,32,C,19821025,262,100923,8,,Wally Masur,R,180,AUS,19.4,107397,,,John Stoddart,R,,AUS,19.8,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,,
2015-360,Casablanca,Clay,28,A,20150406,701,105379,1,,Aljaz Bedene,R,181,SLO,25.7,106172,,,Maxime Chazal,U,,FRA,21.9,6-3 6-2,3,Q1,78,4,0,49,18,14,20,8,5,6,1,2,61,41,22,6,9,6,11,99,546,505,67
2008-499,Delray Beach,Hard,32,A,20080211,726,104192,,,Marco Crugnola,R,188,ITA,24.7,104732,,,Phillip Simmonds,R,,USA,21.7,6-4 7-6(4),3,Q3,,,,,,,,,,,,,,,,,,,,399,80,526,47
2016-3994,Cali CH,Clay,32,C,20160704,281,105154,5,,Joao Souza,R,193,BRA,28.0,105070,,,Hans Podlipnik Castillo,R,183,CHI,28.4,6-2 6-2,3,R32,,1,0,38,18,16,16,8,0,0,1,2,55,26,17,11,8,4,8,183,295,266,193
2015-338,Sydney,Hard,28,A,20150111,724,104678,,,Viktor Troicki,R,193,SRB,28.9,111797,,,Nicolas Jarry,R,198,CHI,19.2,4-6 6-1 6-4,3,Q2,91,8,1,79,51,41,15,14,4,6,3,3,78,44,29,16,13,6,10,92,564,221,220
2012-6114,Kazan CH,Hard,32,C,20120130,1,104291,1,,Malek Jaziri,R,185,TUN,28.0,104505,,,Konstantin Kravchuk,R,190,RUS,26.9,6-4 6-2,3,R32,82,1,0,66,43,28,14,9,4,5,2,1,57,37,19,10,9,4,8,122,485,185,263
2022-2781,Rome CH,Hard,32,C,20220711,285,106415,1,,Yoshihito Nishioka,L,170,JPN,26.7,200516,,Q,Patrick Kypson,R,188,USA,22.7,6-2 6-1,3,R32,64,3,0,41,27,23,8,7,2,2,5,2,46,23,13,7,8,2,7,99,559,709,28
